City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Helong,CN,42.54,129.0,27.96,52,1,1.58,07/15/20
Bluff,NZ,-46.6,168.33,7.68,75,20,6.07,07/15/20
Busselton,AU,-33.65,115.33,18.33,80,10,10.22,07/15/20
Kathmandu,NP,27.72,85.32,23.0,94,75,0.62,07/15/20
Kefamenanu,ID,-9.45,124.48,24.96,64,24,4.14,07/15/20
Mataura,NZ,-46.19,168.86,7.55,73,35,1.44,07/15/20
Krasnosel'kup,RU,65.7,82.47,16.13,86,96,9.8,07/15/20
Sisimiut,GL,66.94,-53.67,6.21,77,100,1.09,07/15/20
Puerto Ayora,EC,-0.74,-90.35,19.44,90,93,2.56,07/15/20
Kapaa,US,22.08,-159.32,28.0,74,40,5.1,07/15/20
Albany,US,42.6,-73.97,24.44,66,56,2.26,07/15/20
Castro,BR,-24.79,-50.01,9.18,97,27,3.43,07/15/20
Chokurdakh,RU,70.63,147.92,3.19,92,100,5.34,07/15/20
Saldanha,ZA,-33.01,17.94,8.0,70,0,1.5,07/15/20
Ushuaia,AR,-54.8,-68.3,-3.0,86,20,2.1,07/15/20
Erzin,TR,36.96,36.2,26.67,88,46,0.62,07/15/20
Lazarev,RU,52.23,141.51,13.84,94,73,11.86,07/15/20
Severo-Yeniseyskiy,RU,60.37,93.04,13.41,62,100,3.46,07/15/20
Atuona,PF,-9.8,-139.03,26.48,76,3,7.15,07/15/20
Naze,JP,28.37,129.48,27.0,88,75,12.3,07/15/20
Port Lincoln,AU,-34.73,135.87,14.64,69,0,3.49,07/15/20
Halifax,CA,44.65,-63.57,14.44,86,100,0.89,07/15/20
Port Blair,IN,11.67,92.75,26.96,79,100,3.03,07/15/20
Ranong,TH,9.97,98.63,27.0,94,75,1.75,07/15/20
Punta Arenas,CL,-53.15,-70.92,0.0,94,6,2.1,07/15/20
Rikitea,PF,-23.12,-134.97,23.4,87,100,3.76,07/15/20
East London,ZA,-33.02,27.91,12.44,41,16,2.62,07/15/20
Tasiilaq,GL,65.61,-37.64,6.0,75,0,3.1,07/15/20
Puerto Escondido,MX,15.85,-97.07,27.52,76,34,0.09,07/15/20
Arraial do Cabo,BR,-22.97,-42.03,19.56,73,100,3.72,07/15/20
Pevek,RU,69.7,170.31,7.07,92,100,0.64,07/15/20
Nemuro,JP,43.32,145.57,15.0,82,75,1.0,07/15/20
Bredasdorp,ZA,-34.53,20.04,2.0,93,0,1.32,07/15/20
Port Alfred,ZA,-33.59,26.89,11.66,43,0,3.14,07/15/20
Lebu,CL,-37.62,-73.65,10.86,89,100,1.74,07/15/20
Hermanus,ZA,-34.42,19.23,5.56,88,1,1.34,07/15/20
Carnarvon,AU,-24.87,113.63,22.0,53,75,5.7,07/15/20
Esperance,AU,-33.87,121.9,12.0,76,0,6.2,07/15/20
Segezha,RU,63.74,34.32,9.6,83,100,3.95,07/15/20
Chui,UY,-33.7,-53.46,5.13,73,0,1.66,07/15/20
Buraidah,SA,26.33,43.98,34.0,23,0,4.6,07/15/20
Aklavik,CA,68.22,-135.01,18.0,55,75,3.6,07/15/20
San Quintín,MX,30.48,-115.95,20.3,77,0,7.95,07/15/20
São Filipe,CV,14.9,-24.5,24.54,83,40,4.83,07/15/20
George Town,MY,5.41,100.34,29.0,94,20,1.5,07/15/20
San Patricio,MX,19.22,-104.7,28.0,74,75,3.47,07/15/20
Coquimbo,CL,-29.95,-71.34,12.0,76,90,2.1,07/15/20
Saint-Agapit,CA,46.56,-71.44,18.89,68,75,2.6,07/15/20
Sarnia,CA,42.98,-82.4,25.0,61,1,3.6,07/15/20
Salekhard,RU,66.53,66.6,11.1,65,0,4.97,07/15/20
Talnakh,RU,69.49,88.4,10.0,87,40,4.0,07/15/20
Guerrero Negro,MX,27.98,-114.06,21.38,72,2,8.68,07/15/20
Fare,PF,-16.7,-151.02,26.33,82,62,6.47,07/15/20
Visby,SE,57.64,18.3,13.0,87,100,3.1,07/15/20
Maningrida,AU,-12.07,134.27,28.28,39,23,5.48,07/15/20
Necochea,AR,-38.55,-58.74,3.33,83,1,2.24,07/15/20
Uray,RU,60.12,64.78,25.05,74,0,2.13,07/15/20
Kruisfontein,ZA,-34.0,24.73,5.62,62,24,1.33,07/15/20
Hobyo,SO,5.35,48.53,26.11,73,100,8.68,07/15/20
Touros,BR,-5.2,-35.46,23.0,100,20,1.5,07/15/20
Jardim,BR,-21.48,-56.14,21.68,72,0,1.65,07/15/20
Bilibino,RU,68.05,166.44,10.2,88,100,1.22,07/15/20
Tuxpan,MX,19.55,-103.4,19.9,87,100,0.84,07/15/20
Gobabis,NA,-22.45,18.97,-1.0,58,0,1.0,07/15/20
Provideniya,RU,64.38,-173.3,9.0,81,75,5.0,07/15/20
Rasova,RO,44.25,27.93,16.0,72,100,3.6,07/15/20
Cidreira,BR,-30.18,-50.21,10.01,65,0,3.26,07/15/20
Rio de Janeiro,BR,-22.9,-43.21,19.0,82,90,2.6,07/15/20
Kristinestad,FI,62.27,21.38,12.66,82,98,1.23,07/15/20
Megion,RU,61.03,76.11,21.0,77,45,2.0,07/15/20
Fukuechō,JP,32.69,128.84,24.0,83,75,2.1,07/15/20
Östersund,SE,63.18,14.64,13.0,93,50,2.1,07/15/20
Lagoa,PT,39.05,-27.98,19.83,81,100,5.97,07/15/20
Yulara,AU,-25.24,130.99,14.0,35,0,4.6,07/15/20
Belaya Gora,RU,68.53,146.42,7.7,69,100,4.41,07/15/20
Severo-Kuril'sk,RU,50.68,156.12,12.26,85,100,3.0,07/15/20
Hobart,AU,-42.88,147.33,10.56,76,75,2.6,07/15/20
Tiksi,RU,71.69,128.87,2.63,85,77,9.07,07/15/20
Chaiyaphum,TH,15.75,102.0,29.98,65,26,3.33,07/15/20
Kahului,US,20.89,-156.47,30.0,48,40,7.2,07/15/20
Tuatapere,NZ,-46.13,167.68,6.24,70,31,1.44,07/15/20
Picota,PE,-6.92,-76.33,21.97,91,100,0.43,07/15/20
Seoul,KR,37.57,126.98,27.0,57,1,1.33,07/15/20
Nālūt,LY,30.33,10.85,27.18,23,0,6.05,07/15/20
Mwene-Ditu,CD,-7.0,23.45,16.94,41,51,2.31,07/15/20
Santa Cruz,MA,30.42,-9.6,21.0,88,0,3.6,07/15/20
Dikson,RU,73.51,80.55,4.51,97,100,1.79,07/15/20
